origin_hdong_cd,dest_hdong_cd,date,start_time,end_time,gender,age,modal,origin_purpose,dest_purpose,od_dist_avg,od_duration_avg,od_cnts,행정동코드,시도명,시군구명,읍면동명,주소,위도,경도
1114060500,1111061500,20231013,17:00,17:00,1,1,2.0,3.0,3,39079,54,7,1114060500,서울특별시,중구,을지로동,서울특별시 중구 을지로동,37.5669897855446,126.991193754251
4146356000,1111061500,20231013,12:00,13:00,1,1,2.0,0.0,3,53748,90,7,4146356000,경기도,용인시 기흥구,구성동,경기도 용인시 기흥구 구성동,37.296758694827,127.118987776165
1111068000,1111061500,20231013,16:00,16:00,1,1,0.0,5.0,5,6434,21,7,1111068000,서울특별시,종로구,창신제2동,서울특별시 종로구 창신제2동,37.5744822903225,127.010871935331
1111063000,1111061500,20231013,16:00,16:00,1,4,0.0,1.0,1,5347,8,8,1111063000,서울특별시,종로구,종로5.6가동,서울특별시 종로구 종로5.6가동,37.5720319758375,127.005071290563
2826053700,1111061500,20231013,14:00,16:00,1,1,2.0,0.0,3,54021,111,13,2826053700,인천광역시,서구,청라2동,인천광역시 서구 청라2동,37.5326557640968,126.644160618855
1144068000,1111061500,20231013,09:00,09:00,1,0,0.0,5.0,5,18562,40,44,1144068000,서울특별시,마포구,합정동,서울특별시 마포구 합정동,37.5516618139959,126.911756414276
4117357000,1111061500,20231013,17:00,19:00,1,1,0.0,0.0,3,117822,105,7,4117357000,경기도,안양시 동안구,평촌동,경기도 안양시 동안구 평촌동,37.3946500875005,126.977074976104
1114055000,1111061500,20231013,11:00,12:00,1,3,4.0,1.0,1,2866,13,7,1114055000,서울특별시,중구,명동,서울특별시 중구 명동,37.5583576447485,126.985241620075
1114052000,1111061500,20231013,13:00,13:00,1,2,0.0,1.0,1,9208,13,9,1114052000,서울특별시,중구,소공동,서울특별시 중구 소공동,37.5638997702148,126.97979400965
1114055000,1111061500,20231013,10:00,10:00,1,4,4.0,1.0,1,1721,5,13,1114055000,서울특별시,중구,명동,서울특별시 중구 명동,37.5583576447485,126.985241620075
1111060000,1111061500,20231013,16:00,16:00,1,1,0.0,0.0,0,6639,8,7,1111060000,서울특별시,종로구,가회동,서울특별시 종로구 가회동,37.5800968068428,126.984784487479
